UNITID,NPT41_PUB,NPT41_PRIV,NPT41_PROG,NPT41_OTHER,COSTT4_A,COSTT4_P,UGDS
102298,NULL,9015,NULL,NULL,18758,NULL,894
102313,6002,NULL,NULL,NULL,9955,NULL,1262
102368,11192,NULL,NULL,NULL,16877,NULL,16208
102377,NULL,27806,NULL,NULL,32853,NULL,2584
102395,NULL,NULL,NULL,NULL,NULL,NULL,80
102429,7954,NULL,NULL,NULL,13443,NULL,3212
102553,6204,NULL,NULL,NULL,13180,NULL,13116
102580,NULL,9592,NULL,NULL,13380,NULL,26
102614,7916,NULL,NULL,NULL,15035,NULL,5729
102632,8443,NULL,NULL,NULL,16409,NULL,1488
102669,NULL,29014,NULL,NULL,42925,NULL,340
102711,NULL,NULL,NULL,NULL,NULL,NULL,1347
102845,NULL,17717,NULL,NULL,21163,NULL,2191
103361,6343,NULL,NULL,NULL,12434,NULL,134
103501,NULL,14009,NULL,NULL,NULL,17095,335
103644,NULL,20002,NULL,NULL,25089,NULL,2761
103723,NULL,NULL,NULL,NULL,NULL,NULL,254
103732,NULL,10835,NULL,NULL,NULL,15718,43
103741,NULL,13018,NULL,NULL,NULL,17171,175
103778,NULL,NULL,NULL,NULL,NULL,NULL,2
103787,NULL,13304,NULL,NULL,20601,NULL,77
103811,NULL,18828,NULL,NULL,NULL,21896,278
103893,NULL,20207,NULL,NULL,NULL,24417,676
103909,NULL,22247,NULL,NULL,NULL,26492,691
103927,NULL,20944,NULL,NULL,NULL,24529,440
103945,NULL,20753,NULL,NULL,26842,NULL,209
103954,NULL,12634,NULL,NULL,NULL,16550,47
103963,NULL,28138,NULL,NULL,NULL,32627,505
104090,NULL,25296,NULL,NULL,NULL,29302,828
104151,8246,NULL,NULL,NULL,21960,NULL,38480
104160,9017,NULL,NULL,NULL,14337,NULL,7442
104179,10542,NULL,NULL,NULL,23905,NULL,31399
104188,NULL,46342,NULL,NULL,49519,NULL,216
104294,NULL,12468,NULL,NULL,NULL,15900,226
104346,3547,NULL,NULL,NULL,9205,NULL,5462
104364,NULL,19388,NULL,NULL,24344,NULL,684
104391,NULL,9846,NULL,NULL,NULL,13838,83
104425,4515,NULL,NULL,NULL,9792,NULL,3787
104434,NULL,11825,NULL,NULL,NULL,17217,53
104443,NULL,11812,NULL,NULL,NULL,16135,113
104504,NULL,16994,NULL,NULL,NULL,21809,143
104568,NULL,10608,NULL,NULL,NULL,14520,273
104577,-1071,NULL,NULL,NULL,11649,NULL,4812
104586,NULL,34694,NULL,NULL,45228,NULL,1802
104665,NULL,NULL,NULL,NULL,NULL,NULL,2
104708,7012,NULL,NULL,NULL,12043,NULL,16623
104717,NULL,25838,NULL,NULL,31613,NULL,34643
104805,NULL,28430,NULL,NULL,32523,NULL,2238
104911,NULL,15423,NULL,NULL,NULL,19268,210
105118,NULL,16911,NULL,NULL,NULL,22094,93
105145,7530,NULL,NULL,NULL,12673,NULL,5653
105154,8077,NULL,NULL,NULL,12744,NULL,20120
105163,NULL,21236,NULL,NULL,26194,NULL,409
105172,NULL,21928,NULL,NULL,26194,NULL,498
105206,11125,NULL,NULL,NULL,15718,NULL,4759
105215,NULL,18648,NULL,NULL,NULL,23695,2049
105297,8172,NULL,NULL,NULL,11396,NULL,1402
105330,11962,NULL,NULL,NULL,22771,NULL,22011
105349,9203,NULL,NULL,NULL,13342,NULL,1641
105367,NULL,NULL,NULL,NULL,NULL,NULL,335
105428,7595,NULL,NULL,NULL,12521,NULL,10234
105482,NULL,13804,NULL,NULL,NULL,17863,87
105516,NULL,18900,NULL,NULL,24167,NULL,3044
105525,2001,NULL,NULL,NULL,7367,NULL,26600
105534,NULL,16780,NULL,NULL,NULL,20448,1726
105543,NULL,15092,NULL,NULL,NULL,21205,930
105589,NULL,18274,NULL,NULL,40206,NULL,540
105659,NULL,19925,NULL,NULL,NULL,22226,621
105668,8056,NULL,NULL,NULL,11811,NULL,10217
105677,NULL,17904,NULL,NULL,NULL,20340,39
105701,NULL,4536,NULL,NULL,NULL,9389,64
105747,8247,NULL,NULL,NULL,12970,NULL,7687
105792,7338,NULL,NULL,NULL,12343,NULL,3980
105899,NULL,22665,NULL,NULL,34444,NULL,491
105987,NULL,18630,NULL,NULL,NULL,23058,284
106041,NULL,20545,NULL,NULL,NULL,25295,2337
106102,NULL,20145,NULL,NULL,26118,NULL,1369
106111,NULL,12341,NULL,NULL,NULL,17239,172
106148,7342,NULL,NULL,NULL,12610,NULL,6072
106245,9026,NULL,NULL,NULL,19894,NULL,8504
106263,NULL,NULL,NULL,NULL,NULL,NULL,755
106281,NULL,4923,NULL,NULL,NULL,9935,32
106306,NULL,16853,NULL,NULL,20024,NULL,1022
106315,NULL,10167,NULL,NULL,NULL,14237,37
106324,NULL,8987,NULL,NULL,NULL,12603,46
106342,NULL,8547,NULL,NULL,33355,NULL,570
106351,NULL,16095,NULL,NULL,NULL,20360,134
106360,NULL,8717,NULL,NULL,NULL,13997,50
106397,8801,NULL,NULL,NULL,19917,NULL,20776
106412,7140,NULL,NULL,NULL,15414,NULL,2503
106449,5165,NULL,NULL,NULL,11558,NULL,3217
106458,7990,NULL,NULL,NULL,18809,NULL,9325
106467,8433,NULL,NULL,NULL,16126,NULL,8734
106485,9686,NULL,NULL,NULL,16255,NULL,3024
106494,NULL,10407,NULL,NULL,NULL,13640,64
106546,NULL,12611,NULL,NULL,18846,NULL,918
106625,4969,NULL,NULL,NULL,11401,NULL,1894
106704,8003,NULL,NULL,NULL,17899,NULL,9261
106713,NULL,9643,NULL,NULL,20386,NULL,769
106795,4760,NULL,NULL,NULL,11753,NULL,1129
106810,NULL,8085,NULL,NULL,18790,NULL,153
106829,3215,NULL,NULL,NULL,8644,NULL,286
106883,2975,NULL,NULL,NULL,8767,NULL,922
106892,NULL,12460,NULL,NULL,NULL,14929,302
106908,NULL,16273,NULL,NULL,NULL,19884,482
106980,8415,NULL,NULL,NULL,13836,NULL,2445
106999,2526,NULL,NULL,NULL,7631,NULL,1090
107044,NULL,20056,NULL,NULL,25475,NULL,4428
107071,7969,NULL,NULL,NULL,18033,NULL,3190
107080,NULL,17092,NULL,NULL,50172,NULL,1428
107099,NULL,8739,NULL,NULL,NULL,13708,43
107123,NULL,NULL,NULL,NULL,NULL,NULL,76
107141,NULL,13333,NULL,NULL,33326,NULL,1770
107211,NULL,12018,NULL,NULL,NULL,15084,27
107220,NULL,14753,NULL,NULL,NULL,17711,364
107275,NULL,6284,NULL,NULL,NULL,10740,15
107293,NULL,15567,NULL,NULL,NULL,19282,75
107318,10035,NULL,NULL,NULL,13105,NULL,1263
107327,6437,NULL,NULL,NULL,12538,NULL,1141
107363,NULL,10869,NULL,NULL,NULL,14690,65
107442,NULL,12681,NULL,NULL,NULL,16982,79
107460,3763,NULL,NULL,NULL,9463,NULL,1885
107488,7009,NULL,NULL,NULL,8855,NULL,252
107512,NULL,13032,NULL,NULL,31473,NULL,1513
107521,8106,NULL,NULL,NULL,12215,NULL,817
107549,5881,NULL,NULL,NULL,11364,NULL,1226
107558,NULL,13809,NULL,NULL,34532,NULL,568
107585,5940,NULL,NULL,NULL,11593,NULL,2077
107600,NULL,19109,NULL,NULL,24877,NULL,554
107619,10838,NULL,NULL,NULL,16140,NULL,986
107637,4716,NULL,NULL,NULL,9672,NULL,1415
107655,NULL,7502,NULL,NULL,NULL,10799,50
107664,12906,NULL,NULL,NULL,17064,NULL,9480
107725,8096,NULL,NULL,NULL,14349,NULL,1157
107743,4268,NULL,NULL,NULL,10415,NULL,553
107789,NULL,20150,NULL,NULL,NULL,24420,96
107831,NULL,15002,NULL,NULL,NULL,18967,104
107840,NULL,4883,NULL,NULL,7500,NULL,330
107877,NULL,8967,NULL,NULL,22330,NULL,501
107974,12177,NULL,NULL,NULL,17675,NULL,1306
107983,6792,NULL,NULL,NULL,17738,NULL,2640
107992,10007,NULL,NULL,NULL,16258,NULL,894
108065,NULL,959,NULL,NULL,NULL,6876,25
108092,6429,NULL,NULL,NULL,14335,NULL,6508
108232,NULL,28224,NULL,NULL,34512,NULL,10300
108250,NULL,21107,NULL,NULL,26209,NULL,510
108269,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108348,NULL,18334,NULL,NULL,NULL,24084,44
108649,NULL,12608,NULL,NULL,NULL,17164,186
108667,3873,NULL,NULL,NULL,10251,NULL,5147
108807,4884,NULL,NULL,NULL,10735,NULL,9692
108852,NULL,37980,NULL,NULL,51197,NULL,258
108861,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108870,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108977,NULL,11883,NULL,NULL,NULL,16486,45
109040,NULL,25525,NULL,NULL,NULL,29948,1770
109086,NULL,NULL,NULL,NULL,NULL,NULL,0
109208,6426,NULL,NULL,NULL,12311,NULL,27332
109332,NULL,25775,NULL,NULL,NULL,31438,170
109350,5395,NULL,NULL,NULL,11430,NULL,12416
109651,NULL,40082,NULL,NULL,56400,NULL,1742
109721,NULL,18336,NULL,NULL,NULL,22699,404
109730,NULL,20129,NULL,NULL,NULL,24413,110
109785,NULL,23732,NULL,NULL,44021,NULL,6543
109819,2898,NULL,NULL,NULL,8732,NULL,15854
109907,9214,NULL,NULL,NULL,14930,NULL,2866
109934,NULL,20810,NULL,NULL,NULL,24879,185
110060,NULL,6816,NULL,NULL,11741,NULL,259
110097,NULL,25538,NULL,NULL,44573,NULL,4324
110185,NULL,26746,NULL,NULL,32699,NULL,492
110194,NULL,20526,NULL,NULL,NULL,26313,45
110219,NULL,13818,NULL,NULL,24818,NULL,879
110246,5177,NULL,NULL,NULL,11493,NULL,11123
110307,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110316,NULL,NULL,NULL,NULL,NULL,NULL,75
110334,6811,NULL,NULL,NULL,12665,NULL,12724
110361,NULL,20886,NULL,NULL,39026,NULL,5797
110370,NULL,25131,NULL,NULL,53837,NULL,1463
110398,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110404,NULL,9110,NULL,NULL,56382,NULL,977
110413,NULL,22038,NULL,NULL,48630,NULL,2882
110422,9938,NULL,NULL,NULL,23867,NULL,18664
110468,NULL,19768,NULL,NULL,28901,NULL,254
110486,6299,NULL,NULL,NULL,18061,NULL,7226
110495,4711,NULL,NULL,NULL,17161,NULL,7751
110510,4967,NULL,NULL,NULL,17030,NULL,15887
110529,7599,NULL,NULL,NULL,19402,NULL,20857
110538,9956,NULL,NULL,NULL,22926,NULL,15106
110547,1592,NULL,NULL,NULL,12957,NULL,11894
110556,4281,NULL,NULL,NULL,16377,NULL,19911
110565,4449,NULL,NULL,NULL,16663,NULL,33000
110574,8800,NULL,NULL,NULL,20676,NULL,12079
110583,6048,NULL,NULL,NULL,18085,NULL,30440
110592,3207,NULL,NULL,NULL,14747,NULL,19525
110608,8779,NULL,NULL,NULL,20899,NULL,33581
110617,6971,NULL,NULL,NULL,19380,NULL,25991
110635,8506,NULL,NULL,NULL,32715,NULL,25951
110644,9573,NULL,NULL,NULL,31803,NULL,26483
110653,8096,NULL,NULL,NULL,28980,NULL,23517
110662,8883,NULL,NULL,NULL,31474,NULL,28667
110671,7651,NULL,NULL,NULL,29787,NULL,18612
110680,8861,NULL,NULL,NULL,29751,NULL,23792
110699,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110705,9546,NULL,NULL,NULL,31913,NULL,19362
110714,9989,NULL,NULL,NULL,33208,NULL,15695
110778,NULL,NULL,NULL,NULL,NULL,NULL,20
110875,NULL,12501,NULL,NULL,NULL,16818,114
110918,NULL,11159,NULL,NULL,17109,NULL,30
110945,NULL,22464,NULL,NULL,27138,NULL,762
111009,NULL,17666,NULL,NULL,23262,NULL,489
111054,NULL,15329,NULL,NULL,NULL,18954,219
111081,NULL,36643,NULL,NULL,56435,NULL,987
111188,11371,NULL,NULL,NULL,22223,NULL,1044
111391,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111434,2778,NULL,NULL,NULL,9010,NULL,5217
111461,5954,NULL,NULL,NULL,11251,NULL,16784
111513,NULL,10690,NULL,NULL,NULL,14912,167
111638,NULL,25316,NULL,NULL,NULL,29402,606
111708,NULL,13894,NULL,NULL,NULL,17902,267
111717,NULL,12762,NULL,NULL,NULL,17000,345
111726,NULL,-570,NULL,NULL,NULL,9931,234
111744,NULL,12280,NULL,NULL,NULL,17101,103
111762,NULL,11043,NULL,NULL,NULL,15243,88
111771,NULL,4584,NULL,NULL,NULL,16275,104
111799,NULL,12548,NULL,NULL,NULL,16468,65
111887,3155,NULL,NULL,NULL,9066,NULL,20011
111896,5413,NULL,NULL,NULL,11064,NULL,4029
111920,5504,NULL,NULL,NULL,11350,NULL,12082
111939,7933,NULL,NULL,NULL,14156,NULL,17217
111948,NULL,24746,NULL,NULL,57020,NULL,5940
111966,NULL,NULL,NULL,NULL,26941,NULL,83
112075,NULL,19329,NULL,NULL,41233,NULL,1916
112084,NULL,26494,NULL,NULL,37696,NULL,889
112127,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112172,2168,NULL,NULL,NULL,8257,NULL,11494
112181,NULL,8295,NULL,NULL,NULL,12973,96
112190,3696,NULL,NULL,NULL,9757,NULL,24662
112251,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112260,NULL,11104,NULL,NULL,60065,NULL,1311
112288,NULL,18157,NULL,NULL,NULL,22270,354
112367,12685,NULL,NULL,NULL,NULL,15638,608
112385,5379,NULL,NULL,NULL,11569,NULL,8999
112394,NULL,19885,NULL,NULL,32243,NULL,457
112446,NULL,26043,NULL,NULL,29842,NULL,532
112455,NULL,NULL,NULL,NULL,NULL,NULL,40
112525,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112561,6540,NULL,NULL,NULL,12210,NULL,2425
112570,NULL,23237,NULL,NULL,30642,NULL,314
112686,6723,NULL,NULL,NULL,12723,NULL,6846
112826,9257,NULL,NULL,NULL,15105,NULL,5468
113096,7626,NULL,NULL,NULL,13537,NULL,12852
113111,10675,NULL,NULL,NULL,16696,NULL,4716
113193,9788,NULL,NULL,NULL,15304,NULL,7964
113218,1793,NULL,NULL,NULL,7866,NULL,7778
113236,4265,NULL,NULL,NULL,10174,NULL,14923
113333,4157,NULL,NULL,NULL,10046,NULL,20496
113397,NULL,14946,NULL,NULL,NULL,19031,1330
113449,NULL,11995,NULL,NULL,NULL,17157,229
113537,NULL,NULL,NULL,NULL,NULL,NULL,14
113573,7943,NULL,NULL,NULL,14046,NULL,8330
113582,NULL,23764,NULL,NULL,29477,NULL,181
113634,8580,NULL,NULL,NULL,14386,NULL,18566
113698,NULL,26060,NULL,NULL,56165,NULL,1567
113704,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113856,8881,NULL,NULL,NULL,14906,NULL,33439
113908,NULL,15670,NULL,NULL,NULL,19721,566
113980,10072,NULL,NULL,NULL,16018,NULL,22222
114044,NULL,29437,NULL,NULL,NULL,32897,205
114071,NULL,14339,NULL,NULL,NULL,18490,397
114080,NULL,15754,NULL,NULL,NULL,19714,254
114114,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114123,NULL,15861,NULL,NULL,NULL,17079,412
114266,8192,NULL,NULL,NULL,14405,NULL,7472
114354,NULL,35423,NULL,NULL,42958,NULL,3459
114390,NULL,33247,NULL,NULL,42052,NULL,637
114415,NULL,29793,NULL,NULL,38721,NULL,214
114433,9405,NULL,NULL,NULL,14923,NULL,1444
114460,NULL,16330,NULL,NULL,NULL,20441,246
114549,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114585,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114628,NULL,7304,NULL,NULL,NULL,11467,47
114716,4714,NULL,NULL,NULL,10399,NULL,13362
114734,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114761,NULL,8226,NULL,NULL,NULL,13192,83
114789,4947,NULL,NULL,NULL,10821,NULL,18888
114813,NULL,12391,NULL,NULL,33973,NULL,2496
114840,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114859,4476,NULL,NULL,NULL,10651,NULL,22295
114938,5953,NULL,NULL,NULL,11544,NULL,5267
114947,NULL,30998,NULL,NULL,NULL,33485,192
115001,2861,NULL,NULL,NULL,8875,NULL,14102
115010,NULL,16704,NULL,NULL,NULL,22364,293
115083,NULL,NULL,NULL,NULL,NULL,NULL,470
115126,10198,NULL,NULL,NULL,16230,NULL,11689
115214,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115296,2256,NULL,NULL,NULL,7759,NULL,17042
115357,NULL,10786,NULL,NULL,NULL,15526,30
115393,8661,NULL,NULL,NULL,14629,NULL,8829
115409,NULL,7080,NULL,NULL,60613,NULL,803
115454,NULL,19094,NULL,NULL,24503,NULL,1146
115472,NULL,16987,NULL,NULL,23046,NULL,1791
115490,NULL,17592,NULL,NULL,23209,NULL,1668
115515,NULL,17881,NULL,NULL,23587,NULL,1070
115533,NULL,17496,NULL,NULL,22720,NULL,1502
115658,NULL,11858,NULL,NULL,NULL,16721,126
115728,NULL,8933,NULL,NULL,46994,NULL,800
115746,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115755,10579,NULL,NULL,NULL,23113,NULL,7748
115773,NULL,14280,NULL,NULL,21029,NULL,757
115861,2916,NULL,NULL,NULL,9327,NULL,6663
115931,NULL,22279,NULL,NULL,NULL,25900,173
116226,NULL,NULL,NULL,NULL,NULL,NULL,293
116350,NULL,13312,NULL,NULL,NULL,18063,268
116439,10401,NULL,NULL,NULL,16598,NULL,11725
116466,NULL,22582,NULL,NULL,26686,NULL,1209
116475,NULL,20403,NULL,NULL,26194,NULL,534
116484,NULL,21141,NULL,NULL,25603,NULL,823
116563,NULL,24819,NULL,NULL,NULL,29995,184
116712,NULL,NULL,NULL,NULL,NULL,NULL,271
116846,NULL,39083,NULL,NULL,46466,NULL,109
117052,3806,NULL,NULL,NULL,10026,NULL,12081
117104,NULL,15666,NULL,NULL,24492,NULL,475
117113,NULL,23595,NULL,NULL,30521,NULL,1869
117140,NULL,16128,NULL,NULL,45305,NULL,5128
117168,NULL,34916,NULL,NULL,39713,NULL,514
117195,4811,NULL,NULL,NULL,9836,NULL,2155
117238,NULL,13094,NULL,NULL,NULL,17079,93
117247,8246,NULL,NULL,NULL,14398,NULL,10140
117274,7682,NULL,NULL,NULL,13925,NULL,2290
117520,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117557,NULL,15577,NULL,NULL,20725,NULL,97
117575,NULL,NULL,NULL,NULL,NULL,NULL,68
117627,NULL,19453,NULL,NULL,39842,NULL,2060
117636,NULL,NULL,NULL,NULL,NULL,NULL,1101
117645,4732,NULL,NULL,NULL,10615,NULL,22475
117672,NULL,NULL,NULL,NULL,NULL,NULL,0
117690,8346,NULL,NULL,NULL,13977,NULL,8719
117706,8147,NULL,NULL,NULL,14213,NULL,17528
117715,6063,NULL,NULL,NULL,11945,NULL,6129
117724,5074,NULL,NULL,NULL,11030,NULL,12033
117733,7497,NULL,NULL,NULL,13353,NULL,16111
117751,NULL,20083,NULL,NULL,40815,NULL,1112
117788,5435,NULL,NULL,NULL,11090,NULL,16485
117803,NULL,NULL,NULL,NULL,NULL,NULL,182
117867,7405,NULL,NULL,NULL,13281,NULL,7931
117894,8387,NULL,NULL,NULL,14140,NULL,7502
117928,NULL,26647,NULL,NULL,33206,NULL,1304
117946,NULL,25080,NULL,NULL,55432,NULL,6087
117955,NULL,9576,NULL,NULL,NULL,13789,186
118116,NULL,12628,NULL,NULL,NULL,16790,67
118125,NULL,9570,NULL,NULL,NULL,13897,36
118143,NULL,7005,NULL,NULL,NULL,10335,56
118161,NULL,10340,NULL,NULL,NULL,12836,126
118189,NULL,18103,NULL,NULL,NULL,23653,138
118198,NULL,12575,NULL,NULL,NULL,15451,594
118259,NULL,25185,NULL,NULL,NULL,29485,520
118277,NULL,23917,NULL,NULL,NULL,27785,1335
118286,NULL,25040,NULL,NULL,NULL,28147,890
118347,8298,NULL,NULL,NULL,13794,NULL,5040
118356,NULL,15281,NULL,NULL,NULL,19438,2405
118541,NULL,17987,NULL,NULL,44406,NULL,1033
118684,8453,NULL,NULL,NULL,14316,NULL,3130
118693,NULL,21734,NULL,NULL,51649,NULL,742
118718,3034,NULL,NULL,NULL,9094,NULL,9163
118772,10104,NULL,NULL,NULL,15651,NULL,5435
118888,NULL,19288,NULL,NULL,54668,NULL,974
118912,3451,NULL,NULL,NULL,9338,NULL,13846
118921,NULL,16228,NULL,NULL,NULL,20245,616
118930,8096,NULL,NULL,NULL,13902,NULL,7467
118958,NULL,10250,NULL,NULL,NULL,14441,48
118967,NULL,21682,NULL,NULL,NULL,25503,786
118976,6864,NULL,NULL,NULL,12734,NULL,15904
118994,NULL,8364,NULL,NULL,NULL,12347,76
119058,NULL,NULL,NULL,NULL,NULL,NULL,22
119067,6074,NULL,NULL,NULL,12092,NULL,8781
119137,2742,NULL,NULL,NULL,8501,NULL,13437
119164,3101,NULL,NULL,NULL,9281,NULL,25800
119173,NULL,22749,NULL,NULL,47905,NULL,2617
119216,6428,NULL,NULL,NULL,12010,NULL,13324
119234,NULL,30532,NULL,NULL,34305,NULL,105
119270,NULL,33592,NULL,NULL,39155,NULL,1166
119331,9327,NULL,NULL,NULL,15178,NULL,5707
119340,NULL,26383,NULL,NULL,NULL,31652,267
119359,NULL,21389,NULL,NULL,26658,NULL,696
119368,NULL,23587,NULL,NULL,28767,NULL,232
119438,NULL,23726,NULL,NULL,NULL,29186,172
119456,NULL,27548,NULL,NULL,NULL,33016,494
119465,NULL,25516,NULL,NULL,NULL,30050,561
119508,NULL,24646,NULL,NULL,30116,NULL,747
119544,NULL,16334,NULL,NULL,22545,NULL,434
119553,NULL,23587,NULL,NULL,NULL,27567,764
119605,NULL,21407,NULL,NULL,23859,NULL,9788
119775,NULL,31693,NULL,NULL,43957,NULL,375
119845,NULL,8448,NULL,NULL,NULL,12408,153
119951,NULL,14641,NULL,NULL,NULL,18479,275
120069,NULL,19882,NULL,NULL,NULL,23706,280
120078,NULL,19038,NULL,NULL,NULL,24317,550
120087,NULL,17714,NULL,NULL,NULL,23539,193
120184,NULL,23260,NULL,NULL,47115,NULL,1209
120254,NULL,15635,NULL,NULL,60655,NULL,2101
120272,NULL,8787,NULL,NULL,NULL,13930,70
120290,10002,NULL,NULL,NULL,16039,NULL,9184
120342,9798,NULL,NULL,NULL,16053,NULL,20521
120403,NULL,26972,NULL,NULL,52397,NULL,1029
120421,3856,NULL,NULL,NULL,9675,NULL,6450
120537,NULL,21384,NULL,NULL,40303,NULL,872
120661,NULL,20274,NULL,NULL,NULL,25049,895
120698,NULL,NULL,NULL,NULL,NULL,NULL,191
120740,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120768,NULL,NULL,NULL,NULL,NULL,NULL,415
120795,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120838,NULL,30753,NULL,NULL,32140,NULL,14
120865,NULL,18430,NULL,NULL,38800,NULL,1601
120883,NULL,21617,NULL,NULL,52406,NULL,3869
120953,7114,NULL,NULL,NULL,12973,NULL,2946
120971,5325,NULL,NULL,NULL,11208,NULL,22535
121017,NULL,9908,NULL,NULL,NULL,14058,99
121044,5718,NULL,NULL,NULL,11751,NULL,23437
121150,NULL,17229,NULL,NULL,58772,NULL,3516
121257,NULL,11907,NULL,NULL,59266,NULL,1081
121275,NULL,35081,NULL,NULL,40468,NULL,369
121309,NULL,23653,NULL,NULL,43060,NULL,2543
121345,NULL,4712,NULL,NULL,57014,NULL,1587
121363,2954,NULL,NULL,NULL,9019,NULL,3339
121381,NULL,24954,NULL,NULL,29458,NULL,571
121433,NULL,11301,NULL,NULL,NULL,15735,108
121619,2608,NULL,NULL,NULL,8434,NULL,25559
121628,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121637,NULL,9290,NULL,NULL,NULL,14520,71
121691,NULL,19403,NULL,NULL,55268,NULL,3462
121707,3954,NULL,NULL,NULL,11166,NULL,2585
121859,NULL,9973,NULL,NULL,NULL,13965,228
121868,NULL,10220,NULL,NULL,NULL,14360,129
121886,5375,NULL,NULL,NULL,11181,NULL,14709
121901,6696,NULL,NULL,NULL,12410,NULL,16243
121983,NULL,22690,NULL,NULL,27325,NULL,168
121992,NULL,10289,NULL,NULL,NULL,10292,210
122117,NULL,NULL,NULL,NULL,NULL,NULL,9
122180,6529,NULL,NULL,NULL,12334,NULL,21765
122205,9056,NULL,NULL,NULL,14906,NULL,19229
122296,NULL,NULL,NULL,NULL,NULL,NULL,506
122339,6054,NULL,NULL,NULL,12291,NULL,14054
122366,NULL,22116,NULL,NULL,26489,NULL,230
122375,6824,NULL,NULL,NULL,12796,NULL,21314
122384,6109,NULL,NULL,NULL,11969,NULL,10709
