UNITID,RRFTCT,RET_PCF,STUFACR 
117557,4,75,28
117575,2,50,14
117627,333,77,15
117636,,,3
117645,2310,73,28
117672,,,17
117690,515,74,33
117706,1235,75,39
117715,276,58,25
117724,536,60,35
117733,813,73,37
117751,188,86,10
117788,809,63,36
117803,,,3
117867,343,71,34
117894,528,77,24
117928,111,50,16
117946,1340,90,11
117955,53,87,15
118116,5,60,15
118125,9,67,15
118134,4,100,11
118143,4,75,15
118161,16,88,10
118189,126,79,15
118198,253,21,27
118259,65,71,19
118277,113,86,20
118286,180,88,24
118347,241,65,17
118356,573,59,24
118541,288,68,18
118684,236,58,16
118693,134,80,15
118718,1048,73,28
118772,161,50,23
118888,194,71,11
118912,1236,71,29
118921,110,57,18
118930,358,69,21
118958,7,57,15
118967,96,79,40
118976,1497,74,32
118994,6,100,20
119058,,,1
119067,365,70,24
119137,1765,77,34
119164,2540,80,26
119173,312,77,12
119216,917,68,29
119234,21,57,5
119270,24,65,5
119331,489,75,21
119359,131,78,30
119456,86,66,30
119465,71,82,30
119508,119,78,24
119544,21,0,2
119553,176,88,19
119605,110,60,20
119775,21,57,8
119845,27,81,15
119951,43,88,14
120069,71,85,30
120078,176,70,39
120087,36,67,17
120184,172,75,11
120254,548,93,10
120272,14,71,18
120290,768,77,26
120342,1842,76,33
120403,160,79,7
120421,504,73,32
120537,68,81,14
120661,219,62,26
120698,,,17
120768,,,10
120838,0,,10
120865,239,79,16
120883,740,86,14
120953,62,53,33
120971,1925,71,26
121017,11,82,25
121044,3343,61,20
121150,783,92,12
121257,265,90,12
121275,0,,20
121309,645,84,14
121345,396,98,7
121363,414,70,27
121381,0,,20
121433,15,67,20
121619,1209,71,38
121637,14,86,16
121691,662,87,14
121707,310,58,19
121859,41,73,19
121868,47,85,24
121886,950,79,29
121901,1359,68,27
121983,0,,3
121992,171,87,30
122117,,,20
122126,,,6
122180,1264,70,28
122205,1566,77,26
122296,,,8
122339,827,69,27
122366,15,80,25
122375,1288,68,30
122384,546,70,30
122409,4432,88,28
122436,1238,90,15
122454,72,69,11
122506,33,82,7
122597,3549,84,24
122612,1146,87,14
122658,1592,77,38
122685,490,68,20
122728,158,79,13
122746,482,61,24
122755,3644,87,27
122791,834,72,24
122834,0,,11
122843,11,18,13
122852,0,,8
122889,2134,50,49
122931,1291,96,12
122977,2956,71,30
123013,1349,75,23
123165,272,94,10
123208,133,74,13
123217,1341,70,30
123280,6,83,5
123299,861,60,25
123341,1705,67,26
123350,34,67,13
123396,9,78,14
123457,149,73,11
123484,192,48,15
123493,663,92,26
123509,559,80,25
123527,804,66,28
123554,622,89,13
123563,763,74,23
123572,1767,81,26
123581,36,83,13
123633,,,15
123642,32,91,25
123651,390,75,15
123679,217,68,25
123800,1706,71,28
123952,32,97,15
123961,2920,97,9
124113,330,63,31
124292,88,97,11
124344,105,65,22
124487,9,33,9
124681,932,66,30
124706,111,61,24
124779,3,67,9
124937,160,80,18
125028,1236,75,32
125082,28,64,25
125091,985,66,26
125170,307,53,28
125231,3,33,17
125310,6,83,15
125462,273,62,27
125471,333,59,30
125499,663,76,22
125532,59,75,23
125727,275,91,12
125763,440,87,13
125897,96,79,10
126076,46,72,23
126119,633,65,27
126164,14,64,11
126182,434,58,15
126207,378,63,17
126289,439,51,24
126359,116,66,29
126401,24,67,24
126562,1081,72,16
126580,1515,66,15
126605,90,66,13
126614,5789,84,18
126669,347,72,14
126678,522,94,10
126687,189,57,32
126702,145,34,19
126711,389,51,13
126748,133,49,12
126775,954,94,16
126784,60,90,12
126818,4321,85,16
126827,38,55,11
126854,25,40,23
126863,358,55,21
126872,8,43,17
126915,103,99,17
126942,407,53,25
126951,335,72,23
127024,0,,19
127060,1399,86,11
127158,177,80,11
127185,862,52,19
127200,1090,56,20
127219,22,77,16
127228,55,71,13
127316,13,69,8
127389,143,52,19
127556,1125,66,23
127565,1726,63,19
127617,54,69,15
127653,37,70,9
127680,4,75,13
127699,1,0,13
127714,3,67,10
127732,267,54,20
127741,1965,68,17
127778,211,52,18
127787,33,58,24
127820,1206,49,23
127839,11,50,15
127884,394,55,17
127909,539,56,21
127918,389,78,14
127945,47,53,9
127954,0,,15
128106,765,63,16
128151,106,59,20
128179,182,83,15
128188,74,77,9
128258,266,64,14
128328,1154,94,8
128337,47,64,20
128391,466,70,16
128425,7,71,4
128498,137,84,14
128540,10,90,15
128577,228,67,18
128586,15,80,11
128674,,,18
128683,13,38,11
128726,105,93,8
128744,538,67,17
128771,1278,80,15
128780,,,16
128896,,,15
128902,489,91,9
128957,56,41,18
129002,48,67,10
129020,3712,93,16
129154,55,62,10
129181,155,77,18
129215,963,77,16
129242,963,89,11
129349,33,85,15
129367,315,54,13
129482,41,68,22
129525,1042,74,10
129534,0,,4
129543,574,62,15
129695,958,62,17
129729,949,62,16
129756,346,60,17
129774,176,59,16
129808,550,58,17
129923,77,86,12
129932,,,20
129941,1156,80,15
129969,111,85,15
130004,646,67,19
130040,192,56,16
130110,18,89,4
130129,129,60,14
130174,523,70,11
130183,460,48,21
130217,279,56,18
130226,1795,85,13
130253,1267,82,15
130314,153,79,11
130396,835,60,17
130448,0,,13
130493,1361,75,14
130509,151,75,20
130590,602,89,9
130606,526,60,17
130624,217,98,7
130697,741,96,8
130776,784,79,14
130794,1358,98,6
130837,,,6
130873,,,11
130891,733,60,13
130907,523,57,12
130916,953,57,13
130934,907,69,16
130943,3794,91,15
130989,93,76,20
131061,53,75,13
131098,463,54,14
131113,309,61,14
131159,1623,89,12
131283,836,82,7
131399,94,52,11
131450,200,67,6
131469,2348,93,12
131496,1593,96,11
131520,1576,85,8
131742,442,58,36
131803,8,50,21
131830,4,100,6
131876,265,60,9
132268,194,74,10
132338,132,56,20
132374,512,63,13
132408,43,72,15
132471,562,62,12
132602,1017,66,16
132657,451,69,18
132666,7,71,18
132675,82,17,10
132693,0,,24
132709,0,,27
132806,0,,42
132842,9,56,15
132851,0,,28
132879,44,39,10
132903,5816,88,31
132976,128,75,8
133021,0,,18
133085,125,60,12
133155,144,74,15
133386,0,,18
133465,19,26,15
133492,452,81,12
133508,0,,27
133526,195,50,15
133553,924,79,14
133650,1273,81,15
133669,3298,75,24
133702,0,,22
133711,708,69,18
133809,189,64,13
133845,145,79,32
133854,126,57,31
133863,121,56,17
133872,33,70,9
133881,781,76,9
133942,,,20
133951,4301,84,26
133960,143,55,12
133979,400,63,16
133997,2,50,15
134024,,,11
134079,633,81,14
134097,5980,92,26
134112,48,71,22
134121,0,,18
134130,6348,96,21
134149,0,,20
134228,20,25,8
134237,2807,69,22
134291,312,85,17
134307,118,53,13
134343,0,,19
134422,14,71,8
134495,3385,61,23
134510,17,59,11
134529,19,68,13
134574,,,20
134608,0,,26
134680,30,57,14
134714,34,79,11
134811,362,55,19
134909,1,100,17
134945,532,73,11
135063,1,0,7
135081,684,75,12
135124,182,57,19
135142,7,86,20
135160,0,,14
135179,269,76,23
135188,0,,18
135267,327,49,20
135276,377,61,22
135294,193,60,10
135337,10,60,14
135364,3,100,37
135391,0,,22
135407,903,45,8
135416,50,60,12
135522,205,29,8
135559,,,10
135610,,,10
135647,252,86,25
135717,0,,23
135726,2114,93,12
135735,436,60,14
135771,141,79,14
135939,1,0,11
135957,96,67,24
136048,20,15,10
136066,8,75,23
136109,24,83,15
136145,168,69,16
136172,1573,83,20
136206,123,61,15
136215,614,74,16
136233,0,,26
136288,1,0,24
136303,136,82,6
136330,578,74,13
136358,0,,30
136400,0,,27
136473,0,,21
136491,205,80,19
136516,0,,26
136659,83,77,26
136765,412,84,24
136774,257,83,11
136783,8,88,8
136826,216,47,18
136950,477,83,10
137023,130,94,12
137032,639,68,15
137078,0,,22
137087,216,81,15
137096,0,,22
137120,247,60,3
137148,0,,9
137209,0,,29
137245,667,53,14
137272,11,91,10
137281,0,,20
137315,0,,17
137351,3818,89,25
137476,194,72,12
137537,7,29,12
137546,852,79,12
137564,842,66,18
137591,77,82,9
137713,93,65,6
137759,2158,60,24
137777,4,75,4
137801,0,,20
137810,0,,20
137847,1590,72,17
137856,20,70,12
137865,77,47,22
137953,75,47,12
137962,24,29,8
138132,47,77,7
138187,0,,31
138275,171,73,17
138284,146,88,10
138293,205,57,23
138309,53,38,18
138354,1316,74,23
138372,232,66,11
138479,598,55,8
138488,52,21,15
138497,201,85,3
138558,222,59,22
138600,252,82,10
138655,107,64,25
138664,14,71,10
138682,416,55,18
138691,908,53,22
138716,508,69,16
138761,184,47,15
138789,864,70,17
138813,553,47,21
138822,80,75,20
138840,430,56,16
138868,190,48,20
138901,4,75,20
138938,34,85,10
138947,767,61,17
138956,386,55,14
139010,236,65,19
139074,3,33,9
139092,5,80,9
139144,672,79,12
139153,57,21,13
139199,201,66,11
139205,147,50,14
139214,6,33,10
139250,241,62,18
139278,662,47,17
139287,21,100,10
139311,446,67,18
139357,326,45,18
139366,964,72,17
139384,549,53,19
139393,295,85,14
139463,333,71,29
139506,20,90,11
139579,25,44,11
139621,1,0,28
139630,167,62,12
139658,1354,95,8
139700,0,,21
139719,515,57,17
139746,,,10
139755,2669,96,18
139764,349,70,16
139861,1395,85,18
139931,3544,81,21
139940,3388,81,21
139959,5218,94,18
139968,0,,21
139986,511,48,18
139995,93,70,23
140003,51,68,15
140012,454,57,20
140164,3148,79,21
140234,267,61,10
140243,378,59,14
140252,73,64,12
140331,1032,51,24
140340,25,52,14
140447,727,80,13
140553,483,83,12
140599,212,50,14
140678,395,62,17
140696,283,71,14
140720,234,56,12
140818,232,73,11
140827,5,40,7
140872,324,63,12
140942,362,58,17
140951,1595,82,19
140960,1261,67,20
140988,307,61,12
141006,376,64,14
141015,7,100,7
141060,558,89,10
141097,733,75,21
141158,78,53,12
141167,70,66,10
141185,163,71,15
141237,187,67,14
141255,303,44,13
141264,1675,69,19
141325,119,67,13
141334,2198,74,21
141361,419,68,11
141468,194,49,26
141486,263,76,11
141565,487,66,14
141574,1933,79,13
141608,9,78,19
141644,516,70,13
141680,431,53,15
141796,807,64,18
141802,184,59,11
141811,802,61,24
141839,0,,15
141848,30,83,12
141945,56,89,12
141981,214,61,20
141990,283,62,23
142054,49,69,18
142090,47,57,14
142115,2075,75,19
142179,53,64,8
142276,666,75,16
142285,1590,77,17
142294,291,86,11
142328,366,61,16
142337,0,,11
142407,31,81,13
142416,16,88,20
142443,754,55,15
142461,247,75,17
142489,21,71,11
142522,1583,69,25
142559,783,56,21
142869,15,67,9
142878,38,92,6
142887,75,72,15
143048,574,82,9
143084,627,83,11
143118,642,71,16
143181,13,69,16
143215,1098,65,20
143279,438,47,20
143288,115,62,12
143297,,,8
143303,,,5
143358,1082,86,12
143376,219,77,10
143464,4,75,9
143473,5,100,11
143482,3,100,11
143491,1,0,12
143516,4,100,9
143543,18,78,14
143552,4,100,12
143613,301,61,15
143695,7,86,7
144005,225,53,12
144050,1426,99,6
144157,504,44,27
144166,556,37,29
144175,319,38,30
144184,447,50,29
144193,487,51,38
144209,1307,52,33
144218,933,56,33
144281,2125,71,13
144351,376,65,17
144467,140,59,49
144485,199,67,25
144564,426,61,17
144573,21,80,16
144740,2422,87,17
144795,71,41,16
144865,2521,69,24
144883,171,31,20
144892,1329,76,14
144944,975,76,20
144962,506,82,13
144971,138,64,12
145099,,,18
145239,65,63,16
145309,21,76,9
145336,0,,10
145354,0,,4
145372,277,70,11
145406,13,85,6
145424,2,100,14
145433,8,75,21
145460,15,53,8
145497,338,23,16
145521,335,61,15
145600,3079,80,17
145619,622,73,13
145637,7321,93,19
145646,527,92,11
145682,1125,69,18
145691,270,76,11
145707,220,59,14
145725,462,87,13
145770,8,50,6
145813,2978,81,19
145831,194,58,16
146010,11,45,14
146205,581,61,23
146278,419,66,12
146296,987,59,23
146339,189,69,10
146348,282,68,14
146366,229,54,20
146393,41,73,10
146418,472,66,21
146427,380,88,12
146454,11,73,10
146472,1177,68,17
146481,399,85,12
146506,909,66,23
146533,,,8
146603,567,69,23
146612,694,83,13
146667,69,83,14
146676,29,54,18
146685,1024,61,21
146700,184,68,21
146719,2497,86,14
146755,0,,10
146791,98,55,16
146807,4,75,13
146816,22,36,12
146825,120,72,13
147004,748,64,19
147013,387,76,14
147129,14,79,11
147165,1,100,7
147244,450,82,11
147341,390,74,12
147369,413,87,17
147378,1651,70,25
147396,36,58,10
147411,325,70,20
147439,16,56,15
147536,27,52,12
147590,,,6
147642,7,86,8
147660,529,78,15
147679,371,79,12
147703,2630,71,15
147749,69,33,16
147767,2040,97,7
147776,764,60,16
147800,749,75,18
147819,38,84,12
147828,753,77,16
147916,675,61,18
147970,56,71,21
148007,418,41,16
148016,125,90,7
148098,8,88,6
148131,275,76,13
148140,40,55,16
148177,349,46,14
148256,355,62,15
148292,272,56,16
148335,698,50,21
148380,776,68,16
148399,67,42,8
148405,103,64,10
148487,429,65,11
148496,497,81,11
148511,,,5
148575,,,9
148584,237,81,11
148593,,,9
148627,591,75,13
148654,312,79,14
148672,374,64,17
148821,100,49,16
148849,8,63,8
148876,0,,15
148937,155,59,16
148955,13,77,17
148991,349,66,16
149028,,,7
149204,17,71,3
149222,2470,68,15
149231,1930,73,18
149310,28,50,17
149329,18,100,13
149365,502,39,14
149499,2,100,8
149505,203,84,11
149514,182,77,14
149532,751,63,20
149550,30,53,12
149639,15,87,8
149727,1006,69,23
149763,,,10
149772,1604,72,15
149781,597,93,12
149842,1564,68,19
150048,143,43,12
150066,434,75,12
150075,1,100,7
150136,3574,81,15
150145,245,81,12
150163,1014,90,11
150172,149,58,11
150251,49,69,18
150303,19,84,20
150400,641,93,10
150428,16,88,13
150437,20,70,10
150455,253,84,9
150534,543,85,14
150604,272,79,12
150668,167,77,10
150677,346,81,26
150695,31,90,10
150710,30,57,13
150756,334,82,12
150765,16,88,20
150774,158,62,14
150853,12,67,7
150941,225,86,12
150987,8772,45,19
151102,1359,68,17
151111,3317,71,19
151166,12,42,12
151263,786,74,11
151290,476,56,36
151306,1652,72,17
151324,2653,64,20
151333,449,64,16
151342,818,66,13
151351,7572,89,17
151360,670,67,15
151379,903,62,14
151388,385,63,15
151458,34,88,17
151467,159,65,24
151494,0,,15
151500,0,,9
151519,44,45,18
151537,39,38,25
151564,12,75,10
151607,9,89,17
151616,1,0,17
151625,0,,6
151652,62,68,15
151661,276,60,28
151777,367,69,15
151786,334,74,13
151801,718,84,16
151810,23,39,15
151829,21,76,15
151874,24,42,20
151944,0,,11
151962,0,,10
152044,4,75,20
152080,2070,98,10
152099,93,70,12
152150,4,75,7
152248,792,74,19
152266,611,57,15
152275,10,60,20
152309,48,83,10
152318,559,94,13
152327,3,33,8
152336,340,71,12
152363,273,74,11
152381,61,82,8
152390,437,89,10
152415,86,77,33
152497,20,75,8
152530,459,88,13
152567,372,72,11
152600,876,84,12
152628,16,81,11
152637,34,56,17
152673,241,89,10
152798,1,100,9
152822,147,76,20
152992,180,54,12
153001,269,73,9
153074,13,92,10
153083,11,73,11
153092,7,71,4
153108,309,78,13
153126,181,73,8
153144,389,78,11
153162,270,83,11
153171,8,50,7
153214,2250,54,20
153241,11,64,5
153250,378,84,15
153269,850,89,12
153278,441,65,13
153296,344,52,21
153302,27,85,9
153311,759,58,17
153320,36,67,13
153339,10,80,7
153366,326,60,13
153375,298,71,13
153384,423,94,9
153409,4,25,27
153418,0,,27
153427,0,,16
153445,912,74,15
153463,9,78,7
153472,706,54,17
153524,1140,54,20
153533,405,55,15
153542,,,12
153588,6,83,7
153597,35,66,11
153603,6063,86,19
153621,102,58,10
153630,1163,50,19
153658,4270,86,16
153737,2319,58,18
153746,28,79,18
153764,33,67,22
153773,64,86,7
153782,24,83,11
153825,414,81,12
153834,627,85,12
153861,18,72,11
153922,360,53,26
153977,2,0,8
154004,357,75,13
154013,154,81,14
154022,760,42,14
154059,572,67,20
154095,1689,85,16
154101,284,77,13
154110,592,58,14
154129,226,69,13
154165,11,64,9
154174,0,,4
154208,32,81,15
154235,561,77,11
154262,0,,5
154332,13,69,8
154341,20,70,16
154350,373,82,13
154378,311,51,18
154396,287,55,15
154448,22,82,12
154457,18,89,8
154466,19,74,11
154493,239,67,18
154518,119,54,26
154527,451,74,12
154545,11,64,14
154572,427,56,17
154590,252,63,17
154642,418,51,20
154688,235,80,10
154697,447,54,25
154712,494,77,14
154721,182,60,10
154749,123,63,10
154767,0,,13
154776,2,50,11
154794,8,88,14
154800,1250,58,18
154837,0,,9
154855,116,54,14
154907,357,49,20
154925,495,61,24
154934,275,53,14
154952,561,58,23
154970,30,53,20
154998,407,49,12
155007,105,45,12
155025,668,73,18
155052,155,76,14
155061,931,68,17
155070,37,62,10
155089,178,68,19
155098,385,51,14
155104,445,63,13
155140,0,,20
155159,43,95,12
155177,163,64,9
155186,477,38,17
155195,915,60,15
155201,291,36,13
155210,1430,63,20
155283,0,,19
155292,578,57,13
155308,4,0,4
155317,3898,80,17
155335,164,72,14
155353,33,82,15
155399,3754,83,19
155414,151,63,14
155423,83,76,8
155441,8,57,7
155450,176,53,14
155487,128,56,13
155496,72,60,17
155511,170,57,13
155520,198,67,7
155566,324,54,12
155593,218,66,10
155618,188,60,9
155627,144,63,18
155636,0,,8
155681,1128,72,19
155715,301,55,26
155812,104,69,9
155830,143,75,10
155858,301,63,15
155867,14,86,10
155900,128,66,8
155937,169,63,14
155973,159,61,12
156082,779,65,14
156107,189,62,14
156125,1218,75,18
156134,180,62,34
156189,189,75,17
156213,322,81,12
156231,418,55,14
156277,31,61,14
156286,674,80,12
156295,397,84,10
156310,29,69,7
156338,306,65,15
156356,151,66,14
156365,514,58,13
156392,1369,54,16
156408,377,90,10
156417,5,60,12
156426,21,62,20
156444,12,75,20
156471,70,56,8
156541,488,60,16
156620,1988,72,15
156648,835,59,18
156745,243,67,9
156754,7,71,7
156790,486,61,15
156842,13,77,17
156851,171,53,10
156860,395,58,19
156903,,,3
156921,874,51,16
156949,13,92,10
156967,21,67,20
157021,0,,6
157030,19,58,12
157058,464,44,12
157076,163,66,12
157085,4619,82,18
157100,129,52,12
157216,512,62,16
157270,0,,5
157289,2805,81,12
157304,286,70,14
157331,402,51,11
157377,79,80,15
157386,1581,70,18
157401,1566,72,16
157438,243,65,12
157447,2022,69,16
157456,3,67,3
157465,0,,6
157483,649,66,14
157508,14,21,15
157535,385,55,16
157553,361,62,18
157599,0,,15
157614,18,44,14
157632,75,57,10
157650,35,57,19
157669,33,52,11
157678,48,46,21
157696,2,100,7
157711,866,57,18
157739,296,63,15
157748,96,69,11
157757,182,74,14
157766,0,,7
157793,0,,19
157809,264,71,15
157818,289,83,11
157827,34,59,20
157863,239,62,13
157951,2748,73,18
158088,346,38,17
158158,49,63,17
158246,71,70,13
158325,,,8
158334,,,5
158343,28,100,15
158352,242,43,28
158431,1127,45,36
158440,17,65,18
158477,127,80,8
158538,21,81,20
158617,,,20
158644,20,75,10
158662,1984,48,19
158723,109,72,13
158778,24,29,10
158787,33,82,12
158802,224,75,14
158884,183,43,23
159009,701,68,20
159027,6,100,9
159197,157,79,16
159319,4,100,10
159328,9,100,13
159373,,,5
159382,148,64,19
159391,5498,85,22
159407,524,56,21
159416,334,66,20
159513,126,71,15
159522,66,73,15
159531,32,75,13
159568,265,54,11
159601,8,63,6
159647,1504,80,24
159656,620,80,11
159717,1307,70,21
159939,842,69,21
159948,30,90,13
159966,1059,69,20
159993,1318,70,21
160010,348,64,24
160029,,,3
160038,1080,68,20
160065,54,72,16
160074,107,52,18
160117,24,63,4
160126,7,86,12
160135,25,32,11
160199,16,56,13
160320,850,72,15
160409,9,89,12
160445,14,64,16
160472,21,90,12
160481,495,46,20
160524,116,63,15
160579,498,57,23
160597,1,100,20
160612,2362,62,22
160621,1100,70,17
160630,180,56,15
160649,377,45,11
160658,2679,76,23
160667,293,47,21
160755,1609,92,9
160904,674,71,14
160913,215,62,18
160940,7,43,27
160959,103,81,10
160977,500,95,10
160995,89,49,24
161004,497,98,9
161022,2,50,6
161077,439,59,17
161086,483,92,10
161138,381,62,14
161165,449,77,15
161192,150,57,18
161208,25,100,8
161217,189,49,17
161226,438,75,13
161235,137,64,16
161244,71,76,12
161253,2120,77,16
161299,222,78,13
161341,178,51,13
161457,548,80,13
161484,120,54,12
161493,109,69,14
161509,103,75,10
161518,304,77,11
161527,53,83,15
161545,1002,56,18
161554,741,65,15
161563,254,67,21
161572,146,74,11
161581,146,56,10
161615,8,88,7
161651,2,100,11
161688,509,58,14
161767,1635,66,18
161776,89,61,37
161800,46,57,25
161855,18,67,25
161864,448,50,17
161873,236,79,15
162007,625,74,16
162061,51,75,12
162104,250,53,12
162122,1268,61,18
162168,370,56,19
162210,126,60,9
162283,353,69,14
162335,8,75,13
162371,235,83,19
162557,834,65,15
162584,889,75,15
162609,216,56,16
162654,401,77,9
162681,1,100,27
162690,409,62,18
162706,1030,65,20
162760,281,76,11
162779,1151,73,14
162830,20,85,17
162928,1390,97,9
162982,11,64,16
163028,162,65,18
163046,1096,87,12
163107,6,83,25
163204,87,28,22
163259,,,7
163268,1653,89,19
163286,4011,96,18
163295,400,88,10
163338,604,73,14
163347,111,56,22
163408,9,67,20
163426,1903,69,18
163453,886,75,14
163462,429,79,13
163532,40,85,17
163541,68,51,25
163578,104,85,11
163657,1169,60,15
163736,134,58,32
163754,9,67,4
163815,18,72,25
163851,1241,82,16
163912,383,85,10
