UNITID,EFYTOTLT
112172,17483
112172,17483
112181,175
112181,175
112190,38132
112190,38132
112251,2412
112251,2412
112260,1346
112260,1332
112260,14
112288,665
112288,665
112367,1662
112367,1662
112385,18330
112385,18330
112394,757
112394,745
112394,12
112446,1230
112446,756
112446,474
112455,66
112455,66
112525,3825
112525,3825
112561,3866
112561,3866
112570,383
112570,383
112686,12589
112686,12589
112826,10670
112826,10670
113096,19860
113096,19860
113111,7476
113111,7476
113193,13399
113193,13399
113218,13614
113218,13614
113236,20551
113236,20551
113333,35540
113333,35540
113397,2239
113397,2239
113449,363
113449,363
113537,60
113537,41
113537,19
113573,11559
113573,11559
113582,246
113582,246
113634,30162
113634,30162
113698,2404
113698,1789
113698,615
113704,96
113704,96
113856,52110
113856,52110
113908,892
113908,892
113980,32178
113980,32178
114044,399
114044,399
114071,724
114071,724
114080,456
114080,456
114114,311
114114,311
114123,563
114123,563
114266,11272
114266,11272
114354,4650
114354,4650
114390,834
114390,834
114415,280
114415,280
114433,3476
114433,3476
114460,425
114460,425
114549,1545
114549,1545
114585,516
114585,516
114628,57
114628,57
114637,99
114637,99
114716,28517
114716,28517
114734,49
114734,49
114761,135
114761,135
114789,30162
114789,30162
114813,4103
114813,2897
114813,1206
114840,3854
114840,3854
114859,33499
114859,33499
114938,9570
114938,9570
114947,431
114947,431
115001,19918
115001,19918
115010,531
115010,531
115083,4279
115083,688
115083,3591
115126,17752
115126,17752
115214,259
115214,259
115296,25215
115296,25215
115357,52
115357,52
115393,13721
115393,13721
115409,814
115409,814
115454,1778
115454,1778
115472,2556
115472,2556
115490,2552
115490,2552
115515,1628
115515,1628
115533,2289
115533,2289
115658,174
115658,174
115728,1538
115728,953
115728,585
115746,1211
115746,1211
115755,8854
115755,8287
115755,567
115773,1376
115773,1121
115773,255
115861,9674
115861,9674
115931,633
115931,633
116226,273
116226,269
116226,4
116350,432
116350,432
116439,18618
116439,18618
116466,2018
116466,2018
116475,987
116475,987
116484,1398
116484,1398
116563,277
116563,277
116712,1766
116712,394
116712,1372
116846,233
116846,114
116846,119
117052,18452
117052,18452
117104,699
117104,634
117104,65
117113,2644
117113,2644
117140,10923
117140,6382
117140,4541
117168,582
117168,549
117168,33
117195,5373
117195,5373
117238,231
117238,231
117247,18748
117247,18748
117274,4912
117274,4912
117520,487
117520,487
117557,612
117557,129
117557,483
117575,232
117575,90
117575,142
117627,3111
117627,2493
117627,618
117636,5557
117636,1632
117636,3925
117645,30644
117645,30644
117672,1927
117672,1260
117672,667
117690,14113
117690,14113
117706,28454
117706,28454
117715,11996
117715,11996
117724,20878
117724,20878
117733,27301
117733,27301
117751,1760
117751,1261
117751,499
117788,31207
117788,31207
117803,264
117803,264
117867,13233
117867,13233
117894,12217
117894,12217
117928,1817
117928,1803
117928,14
117946,10775
117946,6588
117946,4187
117955,425
117955,425
118116,96
118116,96
118125,59
118125,59
118134,119
118134,119
118143,91
118143,91
118161,206
118161,206
118189,146
118189,146
118198,1533
118198,1533
118259,849
118259,849
118277,1961
118277,1961
118286,1429
118286,1429
118347,8489
118347,8489
118356,4099
118356,4099
118541,1098
118541,1090
118541,8
118684,6099
118684,6099
118693,795
118693,795
118718,13606
118718,13606
118772,10148
118772,10148
118888,2066
118888,1170
118888,896
118912,21194
118912,21194
118921,1018
118921,1018
118930,14621
118930,14621
118958,66
118958,66
118967,1240
118967,1240
118976,23093
118976,23093
118994,156
118994,156
119058,844
119058,25
119058,819
119067,14858
119067,14858
119137,18644
119137,18644
119164,36770
119164,36770
119173,3604
119173,2862
119173,742
119216,18055
119216,18055
119234,199
119234,199
119270,1835
119270,1835
119331,8673
119331,8673
119359,1114
119359,1114
119456,820
119456,820
119465,891
119465,891
119508,1233
119508,1233
119544,965
119544,621
119544,344
119553,912
119553,912
119605,29786
119605,16000
119605,13786
119678,4304
119678,4304
119775,576
119775,409
119775,167
119845,245
119845,245
119951,415
119951,415
120069,372
120069,372
120078,803
120078,803
120087,306
120087,306
120166,4426
120166,482
120166,3944
120184,2434
120184,1626
120184,808
120254,2207
120254,2206
120254,1
120272,122
120272,122
120290,16269
120290,16269
120342,28052
120342,28052
120403,1164
120403,1086
120403,78
120421,10446
120421,10446
120537,1870
120537,1304
120537,566
120661,1793
120661,1793
120698,1093
120698,221
120698,872
120740,121
120740,121
120768,1337
120768,610
120768,727
120795,194
120795,194
120838,291
120838,30
120838,261
120865,2053
120865,2045
120865,8
120883,6870
120883,4086
120883,2784
120953,5119
120953,5119
120971,34723
120971,34723
121017,179
121017,179
121044,34050
121044,34050
121150,8231
121150,3746
121150,4485
121257,1104
121257,1104
121275,372
121275,372
121309,3882
121309,2607
121309,1275
121345,1627
121345,1627
121363,5027
121363,5027
121381,915
121381,915
121433,185
121433,185
121619,45832
121619,45832
121628,102
121628,102
121637,109
121637,109
121691,6305
121691,4501
121691,1804
121707,6568
121707,6568
121859,293
121859,293
121868,225
121868,225
121886,24815
121886,24815
121901,27033
121901,27033
121983,747
121983,260
121983,487
121992,216
121992,216
122117,340
122117,58
122117,282
122126,245
122126,30
122126,215
122180,33406
122180,33406
122205,32604
122205,32604
122296,1987
122296,948
122296,1039
122339,23117
122339,23117
122366,389
122366,389
122375,33136
122375,33136
122384,18132
122384,18132
122409,34893
122409,29520
122409,5373
122436,9310
122436,6123
122436,3187
122454,803
122454,578
122454,225
122506,428
122506,185
122506,243
122597,32375
122597,28203
122597,4172
122603,170
122603,170
122612,11934
122612,7241
122612,4693
122649,195
122649,195
122658,24078
122658,24078
122685,8337
122685,8337
122728,1342
122728,1261
122728,81
122746,10540
122746,10540
122755,33638
122755,27264
122755,6374
122791,14720
122791,14720
122834,983
122834,983
122843,4111
122843,3925
122843,186
122852,346
122852,346
122889,26653
122889,26653
122931,9974
122931,5765
122931,4209
122977,41459
122977,41459
123013,31474
123013,31474
123095,715
123095,715
123165,1086
123165,1049
123165,37
123208,1778
123208,1778
123217,13726
123217,13726
123280,72
123280,59
123280,13
123299,12206
123299,12206
123341,24413
123341,24413
123350,247
123350,247
123396,164
123396,164
123448,267
123448,267
123457,1507
123457,1164
123457,343
123484,4028
123484,4028
123493,1154
123493,1154
123509,16434
123509,16434
123527,16452
123527,16452
123554,4709
123554,3218
123554,1491
123563,14392
123563,14392
123572,9550
123572,8692
123572,858
123581,322
123581,322
123633,860
123633,164
123633,696
123642,524
123642,524
123651,2945
123651,2590
123651,355
123679,1367
123679,1367
123800,26145
123800,26145
123855,110
123855,110
123916,161
123916,161
123943,402
123943,402
123952,521
123952,257
123952,264
123961,46174
123961,20336
123961,25838
123970,1266
123970,1266
124113,11031
124113,11031
124283,383
124283,383
124292,373
124292,373
124344,939
124344,939
124487,371
124487,371
124681,5439
124681,5439
124706,1369
124706,1369
124779,51
124779,51
124937,1207
124937,1207
125028,18397
125028,18397
125037,108
125037,108
125082,154
125082,154
125091,15480
125091,15480
125170,11256
125170,11256
125231,78598
125231,13850
125231,64748
125310,59
125310,59
125462,4779
125462,4779
125471,16622
125471,16622
125499,16580
125499,16580
125532,1987
125532,1987
125718,169
125718,169
125727,1373
125727,1373
125763,2585
125763,1744
125763,841
125897,2581
125897,2186
125897,395
126012,438
126012,438
126030,459
126030,459
126049,1089
126049,1089
126076,273
126076,273
126119,9769
126119,9769
126164,134
126164,134
126182,4142
126182,2921
126182,1221
126207,7253
126207,7253
126289,19770
126289,19770
126359,806
126359,806
126401,606
126401,606
126562,28411
126562,16854
126562,11557
126580,14881
126580,11921
126580,2960
126605,1038
126605,1038
126614,36006
126614,29202
126614,6804
126669,7217
126669,6684
126669,533
126678,2450
126678,2339
126678,111
126687,1375
126687,1375
126702,2669
126702,2669
126711,8742
126711,8742
126748,1778
126748,1778
126775,6712
126775,4477
126775,2235
126784,297
126784,297
126818,34814
126818,25878
126818,8936
126827,2886
126827,1832
126827,1054
126854,109
126854,109
126863,11956
126863,11956
126872,700
126872,700
126915,840
126915,840
126924,118
126924,118
126942,15481
126942,15481
126951,1880
126951,1880
126979,1126
126979,1126
127024,752
127024,752
127060,13902
127060,5983
127060,7919
127158,4151
127158,4151
127185,4401
127185,4364
127185,37
127200,31470
127200,31470
127219,75
127219,75
127228,259
127228,259
127273,391
127273,391
127316,382
127316,382
127389,1161
127389,1161
127556,11330
127556,11089
127556,241
127565,27949
127565,27414
127565,535
127617,2469
127617,2469
127653,1121
127653,471
127653,650
127680,492
127680,492
127699,371
127699,371
127714,1256
127714,1256
127732,2759
127732,2759
127741,15300
127741,11284
127741,4016
127778,2121
127778,2121
127787,634
127787,634
127820,20955
127820,20955
127839,551
127839,551
127884,10331
127884,10331
127909,14889
127909,14889
127918,12786
127918,6485
127918,6301
127945,1212
127945,1162
127945,50
127954,81
127954,12
127954,69
128106,13308
128106,6420
128106,6888
128151,1496
128151,1496
128179,841
128179,841
128188,1068
128188,1068
128258,2515
128258,2515
128328,3983
128328,3983
128337,228
128337,228
128391,3022
128391,2671
128391,351
128425,25
128425,22
128425,3
128498,2052
128498,1615
128498,437
128540,179
128540,179
128577,2519
128577,2519
128586,72
128586,72
128674,888
128674,888
128683,1155
128683,1155
128726,232
128726,232
128744,5878
128744,3310
128744,2568
128771,14279
128771,11255
128771,3024
128780,2489
128780,2489
128896,411
128896,411
128902,2044
128902,2035
128902,9
128957,258
128957,258
129002,618
129002,618
129020,28335
129020,19475
129020,8860
129154,5618
129154,5618
129181,1249
129181,1249
129215,6193
129215,5879
129215,314
129242,5664
129242,4300
129242,1364
129349,213
129349,213
129367,6095
129367,6095
129428,356
129428,356
129482,567
129482,567
129491,167
129491,167
129525,8870
129525,6147
129525,2723
129534,532
129534,86
129534,446
129543,8181
129543,8181
129613,74
129613,74
129686,78
129686,78
129695,10558
129695,10558
129729,9804
129729,9804
129756,4495
129756,4495
129774,930
129774,930
129808,6316
129808,6316
129923,687
129923,687
129932,306
129932,306
129941,7645
129941,5476
129941,2169
129969,364
129969,364
130004,9021
130004,9021
130040,2124
130040,2124
130110,162
130110,162
130129,794
130129,794
130174,5257
130174,5257
130183,15098
130183,13790
130183,1308
130217,2563
130217,2563
130226,9562
130226,6759
130226,2803
130253,8440
130253,5067
130253,3373
130314,3165
130314,1218
130314,1947
130396,11792
130396,11792
130448,978
130448,978
130493,12696
130493,9415
130493,3281
130509,631
130509,631
130581,123
130581,123
130590,2609
130590,2473
130590,136
130606,6569
130606,6569
130624,902
130624,902
130697,3542
130697,3135
130697,407
130776,7174
130776,6418
130776,756
130785,10
130785,10
130794,13335
130794,6615
130794,6720
130837,57
130837,57
130873,990
130873,990
130891,5653
130891,5653
130907,4087
130907,4087
130916,9681
130916,9681
130934,4857
130934,4349
130934,508
130943,23535
130943,19569
130943,3966
130989,2554
130989,671
130989,1883
131061,225
131061,225
131098,1924
131098,1816
131098,108
131113,19043
131113,11296
131113,7747
131159,13778
131159,7900
131159,5878
131283,7326
131283,3844
131283,3482
131308,767
131308,522
131308,245
131399,6455
131399,6075
131399,380
131405,132
131405,132
131450,1748
131450,1184
131450,564
131469,28616
131469,11114
131469,17502
131496,21415
131496,9061
131496,12354
131520,10895
131520,7400
131520,3495
131742,3421
131742,3421
131803,2193
131803,1483
131803,710
131830,54
131830,54
131876,2847
131876,2054
131876,793
131973,715
131973,715
132268,1006
132268,1006
132338,2701
132338,2701
132374,3126
132374,3126
132408,587
132408,557
132408,30
132471,10601
132471,5076
132471,5525
132523,35
132523,35
132602,3959
132602,3881
132602,78
132657,2719
132657,1962
132657,757
132666,183
132666,183
132675,242
132675,242
132693,22676
132693,22676
132709,62508
132709,62508
132806,89
132806,89
132842,1229
132842,399
132842,830
132851,10893
132851,10893
132879,328
132879,328
132903,70551
132903,59894
132903,10657
132976,348
132976,348
133021,2754
133021,2754
133085,557
133085,545
133085,12
133155,833
133155,833
133386,20725
133386,20725
133465,1845
133465,1648
133465,197
133492,2627
133492,2627
133508,21069
133508,21069
133526,984
133526,984
133553,5785
133553,5044
133553,741
133650,12002
133650,9934
133650,2068
133669,37488
133669,31234
133669,6254
133702,45387
133702,45387
133711,2896
133711,2896
133809,578
133809,578
133845,970
133845,970
133854,926
133854,926
133863,809
133863,809
133872,2810
133872,2648
133872,162
133881,6822
133881,3624
133881,3198
133942,102
133942,102
133951,65128
133951,53525
133951,11603
133960,1667
133960,1667
133979,1805
133979,1745
133979,60
133997,9902
133997,9902
134024,197
134024,197
134079,2881
134079,2605
134079,276
134097,46733
134097,36575
134097,10158
134112,6151
134112,6151
134121,174
134121,165
134121,9
134130,57003
134130,36731
134130,20272
134149,3097
134149,2627
134149,470
134228,33
134228,33
134237,25214
134237,22369
134237,2845
134291,986
134291,986
134307,1535
134307,1535
134343,8978
134343,8978
134422,104
134422,104
134495,38134
134495,38134
134510,257
134510,257
134529,253
134529,253
134574,289
134574,289
134608,24006
134608,24006
134680,935
134680,935
134714,475
134714,475
134811,4405
134811,4295
134811,110
134909,871
134909,871
134945,5653
134945,4611
134945,1042
135063,703
135063,703
135081,34186
135081,32135
135081,2051
135124,1072
135124,1072
135142,470
135142,470
135160,4263
135160,4263
135179,1113
135179,1113
135188,5938
135188,5938
135267,1411
135267,1411
135276,1142
135276,1142
135294,1529
135294,1529
135337,309
135337,309
135364,1652
135364,610
135364,1042
135391,15181
135391,15181
135407,1809
135407,1809
135416,577
135416,577
135522,519
135522,519
135559,102
135559,102
135610,421
135610,325
135610,96
135647,1995
135647,1995
135717,97341
135717,97341
135726,18556
135726,12325
135726,6231
135735,2277
135735,2277
135771,1124
135771,1124
135939,350
135939,350
135957,1026
135957,1026
136048,110
136048,110
136066,1177
136066,1177
136109,227
136109,227
136145,1617
136145,1617
136172,19385
136172,17058
136172,2327
136206,813
136206,735
136206,78
136215,34715
136215,5780
136215,28935
136233,10053
136233,10053
136288,1182
136288,1120
136288,62
136303,902
136303,902
136330,4409
136330,3358
136330,1051
136358,42580
136358,42580
136400,14193
136400,14193
136473,16163
136473,16163
136491,1868
136491,1868
136516,16789
136516,16789
136659,824
136659,824
136701,121
136701,121
136765,802
136765,802
136774,1260
136774,1260
136783,56
136783,56
136826,1331
136826,1331
136950,3416
136950,2773
136950,643
137023,1212
137023,1212
137032,27079
137032,21415
137032,5664
137078,42732
137078,42732
137087,1995
137087,1995
137096,20453
137096,20453
137120,1508
137120,1508
137148,1121
137148,220
137148,901
137209,26545
137209,26545
137245,2802
137245,2802
137272,101
137272,80
137272,21
137281,9259
137281,9259
137315,3616
137315,3616
137351,46659
137351,35035
137351,11624
137476,5294
137476,3582
137476,1712
137537,321
137537,321
137546,4343
137546,2833
137546,1510
137564,3920
137564,3441
137564,479
137591,478
137591,478
137713,350
137713,350
137759,18728
137759,18728
137777,67
137777,52
137777,15
137801,1174
137801,1135
137801,39
137810,784
137810,759
137810,25
137847,8286
137847,7161
137847,1125
137856,195
137856,195
137865,601
137865,601
137953,384
137953,349
137953,35
137962,282
137962,282
138132,122
138132,122
138187,60079
138187,60079
138275,1376
138275,1211
138275,165
138284,771
138284,771
138293,814
138293,756
138293,58
138309,10341
138309,10341
138354,15687
138354,12258
138354,3429
138372,944
138372,944
138479,1858
138479,1858
138488,676
138488,676
138497,594
138497,594
138558,4005
138558,4005
138600,960
138600,960
138655,385
138655,385
138664,37
138664,37
138682,6003
138682,6003
138691,8600
138691,8600
138716,4782
138716,4030
138716,752
138761,345
138761,345
138789,8508
138789,7584
138789,924
138813,4281
138813,4281
138822,1081
138822,1081
138840,7551
138840,7551
138868,1689
138868,1689
138901,4505
138901,4505
138929,659
138929,659
138938,372
138938,372
138947,3810
138947,2875
138947,935
138956,6476
138956,6476
139010,3686
139010,3686
139074,1067
139074,1067
139092,81
139092,81
139144,2342
139144,2217
139144,125
139153,932
139153,634
139153,298
139199,3505
139199,2031
139199,1474
139205,1009
139205,1009
139214,338
139214,338
139250,3714
139250,3714
139278,10206
139278,10206
139287,274
139287,274
139311,9032
139311,8519
139311,513
139348,327
139348,327
139357,5913
139357,5913
139366,10075
139366,8511
139366,1564
139384,8648
139384,8648
139393,1222
139393,1151
139393,71
139463,5886
139463,5886
139506,278
139506,278
139579,2472
139579,1393
139579,1079
139621,3722
139621,3722
139630,879
139630,879
139658,15852
139658,8586
139658,7266
139700,7287
139700,7287
139719,3516
139719,3126
139719,390
139746,82
139746,82
139755,24434
139755,16158
139755,8276
139764,3475
139764,3175
139764,300
139861,7555
139861,6415
139861,1140
139931,23771
139931,20509
139931,3262
139940,38431
139940,29363
139940,9068
139959,38473
139959,28863
139959,9610
139968,4996
139968,4996
139986,7623
139986,7623
139995,216
139995,216
140003,676
140003,676
140012,10317
140012,10317
140146,397
140146,397
140164,29558
140164,26934
140164,2624
140234,1064
140234,895
140234,169
140243,5356
140243,5356
140252,3131
140252,1058
140252,2073
140331,16197
140331,16197
140340,696
140340,611
140340,85
140447,9657
140447,4931
140447,4726
140553,2309
140553,2309
140562,372
140562,372
140599,2846
140599,2846
140678,3549
140678,3549
140696,1144
140696,1131
140696,13
140720,1100
140720,1100
140818,3150
140818,1532
140818,1618
140827,239
140827,239
140872,1378
140872,1284
140872,94
140942,7400
140942,7400
140951,12748
140951,9942
140951,2806
140960,5541
140960,5339
140960,202
140988,2008
140988,1829
140988,179
141006,2741
141006,2741
141015,365
141015,365
141060,2177
141060,2177
141097,7883
141097,6703
141097,1180
141158,2272
141158,2272
141167,1765
141167,1400
141167,365
141185,948
141185,948
141237,1714
141237,1714
141255,6234
141255,6234
141264,14024
141264,11210
141264,2814
141325,839
141325,759
141325,80
141334,13802
141334,11316
141334,2486
141361,1214
141361,1214
141468,2554
141468,2554
141486,3620
141486,2613
141486,1007
141565,4694
141565,4038
141565,656
141574,23293
141574,16967
141574,6326
141608,143
141608,143
141644,7917
141644,6563
141644,1354
141680,5949
141680,5949
141796,11690
141796,11690
141802,1863
141802,1863
141811,11133
141811,11133
141839,5307
141839,5307
141848,138
141848,138
141936,65
141936,65
141945,228
141945,228
141981,2974
141981,2974
141990,4102
141990,4102
142054,777
142054,777
142090,192
142090,192
142115,29428
142115,22133
142115,7295
142179,1196
142179,1196
142276,16851
142276,14430
142276,2421
142285,13784
142285,10846
142285,2938
142294,1171
142294,1130
142294,41
142328,5625
142328,5625
142337,486
142337,486
142407,102
142407,102
142416,40
142416,40
142443,8193
142443,8193
142461,4543
142461,3635
142461,908
142489,49
142489,49
142522,43278
142522,43278
142559,12033
142559,12033
142832,1234
142832,1234
142869,77
142869,77
142878,59
142878,59
142887,427
142887,427
143048,3836
143048,3010
143048,826
143084,2569
143084,2569
143118,7485
143118,3716
143118,3769
143181,61
143181,61
143215,20734
143215,20734
143233,73
143233,73
143279,11439
143279,11439
143288,631
143288,631
143297,277
143297,255
143297,22
143303,17
143303,17
143358,5793
143358,5036
143358,757
143376,616
143376,616
143464,159
143464,159
143473,117
143473,117
143482,139
143482,139
143491,186
143491,186
143516,103
143516,103
143534,39
143534,39
143543,119
143543,119
143552,129
143552,129
143613,3653
143613,3653
143659,538
143659,538
143695,32
143695,32
143853,2892
143853,2892
143978,2011
143978,2011
144005,6492
144005,5050
144005,1442
144014,290
144014,290
144050,17357
144050,6179
144050,11178
144157,10054
144157,10054
144166,11006
144166,11006
144175,11530
144175,11530
144184,19122
144184,19122
144193,15708
144193,15708
144209,13699
144209,13699
144218,19194
144218,19194
144281,10960
144281,10446
144281,514
144351,6696
144351,1711
144351,4985
144467,1409
144467,1409
144485,1232
144485,1232
144564,9171
144564,9171
144573,76
144573,76
144740,29001
144740,19127
144740,9874
144795,162
144795,162
144865,47219
144865,47219
144883,1071
144883,1071
144892,11230
144892,9287
144892,1943
144944,17037
144944,17037
144962,3515
144962,3148
144962,367
144971,736
144971,736
145099,439
145099,439
145239,407
145239,407
145275,456
145275,456
145309,52
145309,52
145336,7261
145336,4146
145336,3115
145354,82
145354,82
145372,1668
145372,1246
145372,422
145406,407
145406,407
145424,89
145424,89
145433,117
145433,117
145460,773
145460,509
145460,264
145497,607
145497,605
145497,2
145521,4228
145521,4228
145558,2182
145558,2182
145600,31015
145600,18269
145600,12746
145619,9215
145619,4733
145619,4482
145628,638
145628,638
145637,48250
145637,34078
145637,14172
145646,2028
145646,2028
145682,16085
145682,16085
145691,1054
145691,1031
145691,23
145707,2258
145707,2258
145725,8852
145725,3293
145725,5559
145770,1358
145770,463
145770,895
145813,22599
145813,19189
145813,3410
145831,6303
145831,6303
145886,131
145886,131
146010,502
146010,502
