"INSTNM","UNITID"
"Southwest College of Naturopathic Medicine & Health Sciences",420246
"Southwestern College",188207
"Southwestern College",188207
"Southwestern College",188207
"Southwestern Law School",123970
"Spertus College",148982
"St Bernard's School of Theology and Ministry",195155
"St Louis College of Pharmacy",179265
"Starr King School for Ministry",123916
"SUNY College of Optometry",196228
"Teachers College at Columbia University",196468
"Texas Chiropractic College Foundation Inc",228866
"The Chicago School of Professional Psychology at Chicago",143978
"The Chicago School of Professional Psychology at Irvine",455433
"The Chicago School of Professional Psychology at Los Angeles",455664
"The Chicago School of Professional Psychology at Washington DC",459745
"The Chicago School of Professional Psychology at Westwood",455682
"The Commonwealth Medical College",456542
"The Dickinson School of Law of the Pennsylvania State University",212018
"The General Theological Seminary",191320
"The John Marshall Law School",146241
"The Seattle School of Theology & Psychology",441131
"The Wright Institute",126012
"Thomas Jefferson School of Law",126049
"Thomas M Cooley Law Schoo",172477
"Touro University California",459736
"Tri-State College of Acupuncture",130581
"Trinity Episcopal School for Ministry",216463
"Trinity Law School",123448
"Trinity Lutheran Seminary",206215
"Unification Theological Seminary",246789
"Union Graduate College",446932
"Union Presbyterian Seminary",233842
"Union Theological Seminary in the City of New York",196884
"United Theological Seminary",206288
"United Theological Seminary of the Twin Cities",175139
"University of California-Hastings College of Law",110398
"University of California-San Francisco",110699
"University of East-West Medicine",447801
"University of Massachusetts Medical School Worcester",166708
"University of North Texas Health Science Center",228909
"University of Saint Mary of the Lake",148885
"University of St Augustine for Health Sciences",367954
"University of the District of Columbia-David A Clarke School of Law",363721
"University of the Rockies",441308
"Urshan Graduate School of Theology",455099
"Vermont College of Fine Arts",455992
"Vermont Law School",231147
"Wartburg Theological Seminary",154536
"Weill Cornell Medical College",190424
"Wesley Biblical Seminary",176451
"Wesley Theological Seminary",131973
"West Virginia School of Osteopathic Medicine",237880
"Western Seminary",210368
"Western State College of Law at Argosy University",126030
"Western Theological Seminary",172705
"Western University of Health Sciences",112525
"Westminster Theological Seminary",216816
"Westminster Theological Seminary in California",125718
"Widener University-Harrisburg Campus",402828
"William Mitchell College of Law",175281
"Winebrenner Theological Seminary",206516
"Wisconsin School of Professional Psychology",240213
"Wolford College",451130
"Won Institute of Graduate Studies",442064
"World Medicine Institute",141936
"Yo San University of Traditional Chinese Medicine",401250
